technology,carrier,node,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ASU,electricity,AL01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,electricity,AL02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,electricity,AL03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,electricity,AT11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,electricity,AT12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,electricity,AT13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,electricity,AT21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,electricity,AT22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,electricity,AT31,142.53559428304078,137.8633936686427,133.19119305424454,128.5189924398464,123.84679182544826,119.17459121105009,114.50239059665195,109.83018998225377,105.15798936785563,100.48578875345747,95.81358813905932,91.14138752466116,86.46918691026302,81.79698629586481
ASU,electricity,AT32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,electricity,AT33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,electricity,AT34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,electricity,BE10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,electricity,BE21,205.5307776251491,198.79364624173442,192.05651485831962,185.31938347490484,178.58225209149003,171.84512070807523,165.10798932466045,158.37085794124565,151.63372655783087,144.89659517441612,138.15946379100131,131.4223324075865,124.68520102417173,117.94806964075684
ASU,electricity,BE22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,electricity,BE23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU,electricity,BE24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
